,sentiment,time,,,
527,positive,2017-10-25 23:09:38+00:00,,,
528,positive,2017-10-25 22:47:21+00:00,,,
529,neutral,2017-10-25 22:36:13+00:00,,,
530,positive,2017-10-25 22:06:04+00:00,,,
531,positive,2017-10-25 22:01:40+00:00,,,
532,neutral,2017-10-25 21:50:42+00:00,,,
533,positive,2017-10-25 21:46:01+00:00,,,
534,positive,2017-10-25 20:43:53+00:00,,,
535,positive,2017-10-25 20:37:15+00:00,,,
536,positive,2017-10-25 20:14:51+00:00,,,
537,positive,2017-10-25 20:11:32+00:00,,,
538,positive,2017-10-25 19:34:50+00:00,,,
539,negative,2017-10-25 19:08:53+00:00,,,
540,negative,2017-10-25 18:37:38+00:00,,,
541,positive,2017-10-25 18:36:58+00:00,,,
542,neutral,2017-10-25 18:28:13+00:00,,,
543,negative,2017-10-25 18:15:34+00:00,,,
544,negative,2017-10-25 18:09:33+00:00,,,
545,positive,2017-10-25 18:08:22+00:00,,,
546,neutral,2017-10-25 18:06:29+00:00,,,
547,positive,2017-10-25 17:47:09+00:00,,,
548,negative,2017-10-25 17:23:19+00:00,,,
549,positive,2017-10-25 17:22:58+00:00,,,
550,negative,2017-10-25 17:03:45+00:00,,,
551,negative,2017-10-25 16:50:40+00:00,,,
552,positive,2017-10-25 16:45:23+00:00,,,
553,positive,2017-10-25 16:18:32+00:00,,,
